idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
23609,7.786,13.268,49.296,-2124810.000,2124769.296,-4.309,-4.649,-2.724,274.833,-0.998,-0.632
23610,7.786,12.610,49.295,-2124900.000,2124859.295,-4.237,-4.431,-3.813,297.060,-0.933,-0.602
23611,7.786,12.062,49.294,-2124990.000,2124949.294,-4.160,-4.231,-3.632,318.909,-0.876,-0.575
23612,7.895,12.172,49.294,-2125080.000,2125039.294,-4.078,-4.086,-2.724,340.354,-0.866,-0.563
23613,8.005,10.966,49.293,-2125170.000,2125129.293,-3.990,-3.813,-2.724,361.364,-0.764,-0.533
23614,7.895,10.417,49.292,-2125260.000,2125219.292,-3.897,-3.596,-2.905,381.913,-0.709,-0.495
23615,7.786,11.185,49.291,-2125350.000,2125309.291,-3.799,-3.505,-2.905,401.973,-0.742,-0.476
23616,7.676,10.417,49.291,-2125440.000,2125399.291,-3.696,-3.269,-2.361,421.518,-0.672,-0.438
23617,7.676,10.856,49.290,-2125530.000,2125489.290,-3.589,-3.142,-1.816,440.522,-0.680,-0.421
23618,7.566,8.992,49.290,-2125620.000,2125579.290,-3.476,-2.778,-2.179,458.959,-0.546,-0.367
23619,7.347,9.321,49.290,-2125710.000,2125669.290,-3.359,-2.633,-1.271,476.805,-0.546,-0.338
23620,7.128,9.101,49.289,-2125800.000,2125759.289,-3.238,-2.433,-1.816,494.036,-0.514,-0.303
23621,7.018,8.882,49.289,-2125890.000,2125849.289,-3.112,-2.234,-1.634,510.628,-0.482,-0.274
23622,6.799,9.211,49.288,-2125980.000,2125939.288,-2.982,-2.088,-1.271,526.561,-0.479,-0.248
23623,6.579,9.321,49.288,-2126070.000,2126029.288,-2.849,-1.907,-0.908,541.811,-0.463,-0.219
23624,6.470,9.101,49.288,-2126160.000,2126119.288,-2.712,-1.707,-0.908,556.359,-0.431,-0.193
23625,6.470,8.772,49.288,-2126250.000,2126209.288,-2.571,-1.489,-0.726,570.185,-0.394,-0.168
23626,6.141,8.663,49.288,-2126340.000,2126299.288,-2.427,-1.289,-0.363,583.270,-0.367,-0.138
23627,5.921,9.321,49.288,-2126430.000,2126389.288,-2.279,-1.162,-0.545,595.597,-0.371,-0.120
23628,5.812,8.992,49.288,-2126520.000,2126479.288,-2.129,-0.944,-0.000,607.148,-0.334,-0.096
23629,5.702,9.869,49.287,-2126610.000,2126569.287,-1.976,-0.835,-0.182,617.907,-0.340,-0.083
23630,5.702,9.869,49.287,-2126700.000,2126659.287,-1.820,-0.654,-0.000,627.860,-0.313,-0.065
23631,5.702,9.759,49.288,-2126790.000,2126749.288,-1.662,-0.454,0.363,636.993,-0.283,-0.045
23632,5.592,10.198,49.288,-2126880.000,2126839.288,-1.502,-0.309,0.182,645.294,-0.267,-0.030
23633,5.592,10.856,49.288,-2126970.000,2126929.288,-1.339,-0.182,0.363,652.750,-0.254,-0.018
23634,5.702,10.856,49.288,-2127060.000,2127019.288,-1.175,0.000,0.726,659.351,-0.223,0.000
23635,5.812,11.514,49.288,-2127150.000,2127109.288,-1.010,0.127,0.726,665.088,-0.203,0.013
23636,5.812,11.843,49.288,-2127240.000,2127199.288,-0.843,0.272,1.090,669.951,-0.174,0.028
23637,6.689,4.057,49.291,-2127330.000,2127289.291,-0.675,1.217,9.624,673.935,-0.048,0.142
23638,6.470,4.935,49.291,-2127420.000,2127379.291,-0.506,1.307,1.634,677.033,-0.044,0.148
23639,6.470,5.483,49.292,-2127510.000,2127469.292,-0.336,1.435,1.998,679.240,-0.032,0.162
23640,7.128,6.360,49.292,-2127600.000,2127559.292,-0.166,1.525,1.998,680.552,-0.018,0.190
23641,7.018,7.347,49.293,-2127690.000,2127649.293,0.004,1.598,1.816,680.968,0.000,0.196
23642,6.579,7.566,49.293,-2127780.000,2127739.293,0.174,1.743,2.361,680.484,0.023,0.200
23643,6.141,8.882,49.294,-2127870.000,2127829.294,0.344,1.780,1.634,679.102,0.053,0.191
23644,5.812,8.334,49.294,-2127960.000,2127919.294,0.514,1.998,3.269,676.823,0.075,0.203
23645,5.702,10.088,49.295,-2128050.000,2128009.295,0.682,1.979,1.634,673.648,0.120,0.197
23646,5.702,10.527,49.296,-2128140.000,2128099.296,0.850,2.088,2.724,669.581,0.156,0.208
23647,5.702,11.295,49.296,-2128230.000,2128189.296,1.017,2.161,2.542,664.626,0.200,0.215
23648,5.702,12.281,49.297,-2128320.000,2128279.297,1.183,2.215,2.179,658.790,0.253,0.220
23649,5.812,13.378,49.297,-2128410.000,2128369.297,1.346,2.252,2.361,652.078,0.314,0.228
23650,6.360,13.817,49.298,-2128500.000,2128459.298,1.509,2.343,2.905,644.501,0.364,0.260
23651,6.689,14.036,49.299,-2128590.000,2128549.299,1.669,2.451,2.905,636.065,0.409,0.286
23652,7.128,14.584,49.300,-2128680.000,2128639.300,1.826,2.524,3.087,626.783,0.465,0.314
23653,7.457,15.133,49.300,-2128770.000,2128729.300,1.982,2.597,2.361,616.665,0.523,0.338
23654,7.676,16.668,49.301,-2128860.000,2128819.301,2.135,2.560,2.905,605.725,0.621,0.343
23655,8.005,17.106,49.301,-2128950.000,2128909.301,2.285,2.633,2.361,593.975,0.682,0.368
23656,8.334,17.216,49.302,-2129040.000,2128999.302,2.432,2.724,3.632,581.432,0.731,0.396
23657,8.772,17.326,49.303,-2129130.000,2129089.303,2.575,2.815,3.450,568.110,0.779,0.431
23658,8.992,16.997,49.304,-2129220.000,2129179.304,2.716,2.942,3.450,554.027,0.806,0.462
23659,9.211,17.326,49.305,-2129310.000,2129269.305,2.852,2.996,2.905,539.201,0.863,0.482
23660,10.088,17.326,49.306,-2129400.000,2129359.306,2.985,3.069,3.632,523.650,0.903,0.540
