idx,act_tor,tar_tor,act_pos,tar_pos,diff_pos,tar_vel,act_vel,calc_vel,tar_accel,tar_power(W),act_power(W)
38958,0.439,193.653,0.000,-0.005,0.005,-0.719,-2.060,-10.986,5586.422,-2.430,-0.016
38959,0.439,197.272,0.001,-0.005,0.006,0.686,-1.717,2.747,5590.150,2.362,-0.013
38960,0.329,190.802,0.000,-0.005,0.005,2.046,-2.060,-2.747,5224.397,6.812,-0.012
38961,0.219,179.288,-0.002,-0.004,0.003,3.270,-4.463,-6.866,4513.043,10.232,-0.017
38962,0.000,136.632,-0.001,-0.003,0.003,4.278,-1.030,2.747,3502.854,10.202,-0.000
38963,-0.219,99.349,-0.001,-0.002,0.002,5.004,-1.717,-0.000,2260.430,8.676,0.007
38964,-0.329,59.763,-0.003,-0.001,-0.001,5.398,-3.433,-9.613,867.822,5.630,0.020
38965,-0.548,-1.206,-0.002,0.001,-0.001,5.435,0.000,6.866,-582.875,-0.114,-0.000
38966,-0.768,-45.398,-0.002,0.002,-0.003,5.112,-1.373,-2.747,-1995.606,-4.050,0.018
38967,-0.768,-89.918,-0.003,0.003,-0.005,4.450,-1.717,-1.373,-3276.717,-6.983,0.023
38968,-0.768,-134.987,-0.004,0.004,-0.007,3.493,0.000,-4.120,-4341.168,-8.230,-0.000
38969,-0.768,-161.962,-0.003,0.005,-0.007,2.305,-1.030,4.120,-5118.185,-6.515,0.014
38970,-0.658,-177.643,-0.004,0.005,-0.009,0.963,-2.060,-6.866,-5555.980,-2.986,0.024
38971,-0.548,-192.008,-0.003,0.005,-0.008,-0.442,0.000,5.493,-5625.215,1.482,-0.000
38972,-0.329,-189.925,-0.003,0.005,-0.008,-1.818,1.030,1.373,-5320.991,6.028,-0.006
38973,-0.219,-168.432,-0.002,0.004,-0.007,-3.074,0.000,1.373,-4663.207,9.036,-0.000
38974,-0.110,-156.041,0.000,0.003,-0.004,-4.125,4.807,10.986,-3695.278,11.235,-0.009
38975,0.000,-108.011,-0.001,0.002,-0.004,-4.903,2.060,-5.493,-2481.288,9.242,0.000
38976,0.110,-72.592,0.002,0.001,-0.000,-5.354,4.807,12.360,-1101.760,6.783,0.009
38977,0.110,-15.133,0.000,-0.000,-0.001,-5.449,2.403,-8.240,351.674,1.439,0.005
38978,0.219,42.327,0.001,-0.002,0.001,-5.182,0.000,2.747,1782.353,-3.828,0.000
38979,0.219,80.597,0.001,-0.003,0.003,-4.570,2.403,2.747,3095.015,-6.428,0.009
38980,0.329,129.285,0.002,-0.004,0.005,-3.653,0.000,2.747,4202.145,-8.244,0.000
38981,0.329,154.286,0.002,-0.005,0.006,-2.494,2.060,0.000,5029.814,-6.715,0.012
38982,0.439,177.862,0.002,-0.005,0.007,-1.167,1.373,0.000,5522.629,-3.624,0.011
